prompts,feelings
i feel happy about this solution,"Contentment, Satisfaction, Resentment"
i did enjoy the book however and i especially liked the characters of the brothers one fired up with the detectin spirit and the other feeling skeptical but willing to back his brother in a fight,"Hope, Positivity, Anticipation"
im not sure if its just me who feels this way or if its everyone but tortured souls dont make for the best boyfriends,"Curiosity, Wonder, Intrigue"
i have not conducted a survey but it is quite likely that many of them feel as assaulted by onel s demons and other creators as i would have felt had the walls been covered only with eminent figures patriotic heroes and epic deeds,"Assault, Hesitancy, Virtue"
i think were on a level of understanding though i still feel hes hesitant,"Sadness, Loneliness, Ecstasy"
i just feel so virtuous when we go on a fieldtrip,"Annoyance, Embarrassment, Shame"
im not gonna lie i was kinda sad and down and feeling pretty lonely,"Aggravation, Idiocy, Uselessness"
im feeling ecstatic about right now the classy ever after redesign project begins this week,"Happiness, Strength, Helplessness"
i feel could have been avoided with some blazes markers or cairns i was very annoyed at this point,"Generosity, Shyness, Inspiration"
i never told my boyfriend or his parents and i do remember feeling embarrassed and maybe even a little ashamed,"Respect, Fabulousness, Misery"
i feel more aggravated and annoyed by their visits,"Jealousy, Resentment, Irritability"
im feeling completely idiotic by not being ablo to contribute,"Contentment, Pettiness, Gratitude"
i aint happy im feeling glad i got sunshine in a bag im useless but not for long the future is coming on,"Triumph, Shame, Confusion"
i feel strong is that i dont let the anger win,"Passion, Worthlessness, Fear"
i always feel so helpless during times of disaster but i feel a little better knowing that even a few dollars can make a difference for someone in need,"Grief, Self-doubt, Overwhelm"
i honestly feel extremely shy to ask my friends to take pictures of me how vain must they think i am,"Resentfulness, Discomfort, Exhaustion"
ill find that elusive second wind and feel more hopeful but today i am a href http www,"Gloom, Guilt, Acceptance"
i feel intimidated nervous and overwhelmed and i shake like a leaf,"Appreciation, Insecurity, Relief"
i make myself feel useful by fucking a guy,"Satisfaction, Bitterness, Uncertainty"
i feel most inspired to create and ive been thinking a lot about inspiration this week,"Petulance, Joy, Comfort"
i think most interactions in person are probably fine sufficiently respectful and polite that the ladies don t feel abused,"Sincerity, Tiredness, Unwelcome"
im feeling extremely fabulous with my jacket and shoes aint no bitches gonna bring me down hahah,"Richness, Rude, Unluckiness"
ive have chosen to walk with jesus and maybe im feeling a bit miserable im going to suck it up and think about these three dudes,"Insecurity, Tiredness, Confusion"
i had a good day but right now im feeling pretty irritable for no real reason meaning nothing significant happened to make me feel annoyed,"Intoxication, Agitation, Overwhelm"
i am feeling contented and pissed at the same time,"Trouble, Insecurity, Heartbreak"
i wonder if the homeowners would feel weird if i parked to gape at their landscaping,"Shame, Humiliation, Purposelessness"
i both feel impatience at the rate of loss and impressed at the same time,"Ungratefulness, Hopefulness, Numbness"
im a big guy and ive gotten into some of the rigs that weve worked with to try them out and see what they feel like and let me tell you it was less than pleasant,"Euphoria, Ambivalence, Anxiety"
i ran errands to buy cora a few newborn sized sleepers i had not previously made any newborn sized babies and went out to lunch to celebrate how great i was feeling i feel amazing no pain no pain meds and moving around almost completely normally at days out,"Excitement, Contentment, Relief"
i really am not feeling child friendly,"Disappointment, Indignation, Apathy"
i feel furious with myself,"Anger, Shame, Guilt"
i think or feel but like this person i am still amazed by them,"Empathy, Adoration, Trust"
i like to think i present myself and the life and times of the working mum to a good standard and if i ever do miss a apostrophe or miss spell a particular word please feel free to call me on it,"Satisfaction, Optimism, Compassion"
i don t feel i can ask him what feels like a dumb question,"Insecurity, Embarrassment, Suspicion"
i feel proud to know several people that have deserved to be advanced for a while now and finally picked it up this time around or last time in a few peoples cases,"Pride, Gratitude, Hopefulness"
i give up from my goals if i feel them boring,"Discouraged, Boredom, Frustration"
i was careful to make sure the characters featured you can feel sympathetic,"Sympathy, Remorse, Compassion"
i didnt make it to my weight watchers meeting feeling guilty i made sure i had a healthy breakfast consisting of museli yoghurt and fruit,"Anxiety, Relief, Contentment"
i am feeling the tender spot on my foot when i flex it a certain way so it is back to wearing shoes all day for this cowboy,"Pain, Overwhelm, Insecurity"
i know how that feels weird right,"Curiosity, Confusion, Disappointment"
i thought yoga was supposed to make me feel tranquil peaceful and sculpt my legs into those of a greek goddess,"Melancholy, Sorrow, Loneliness"
i just feel its one of those things you dont talk about too much because then too many people come to know and then the plan doesnt taste as sweet nor does it feel like a plan,"Surprise, Joy, Appreciation"
i left the theater i ran my hand sadly over the plush red backs of the seats in front of me feeling almost mournful that i wasnt going to be back for a long time,"Melancholy, Discontent, Anger"
i asked some girls what it meant to them to be valued and for the most part the response was that they felt valued when the people around them made them feel valued and treated them in a loving and caring manner,"Exhilaration, Pride, Trust"
i am feeling very petty right now,"Pessimism, Resentment, Indignation"
i wasn t the person who was helping i realized that it was i who inspired all these people to start charity work and i can t help but feel proud,"Serenity, Connection, Gratitude"
i feel so amazingly overwhelming thrilled for my wedding,"Fear, Suspicion, Disgust"
i feel shame in a strange way,"Nostalgia, Anticipation, Hopefulness"
i suspect much of the country feels after the tragic events of last week,"Hopefulness, Anticipation, Relief"
i feel like that because for the most part i have accepted that this is a part of my life and that people will never changed,"Guilt, Shame, Disgust"
i find it relaxes me and i feel productive making food as the end product should taste nice and will satisfy myself and other people,"Empathy, Compassion, Sympathy"
i feel that sometimes i ve been distracted and neglectful i am thankful that this is not about adding another box to check in my otherwise busy days,"Euphoria, Serenity, Bliss"
i feel about these individuals but that opening line shows how inadequate simple words can be,"Sadness, Betrayal, Jealousy"
ive been too deep down in the swamps swimming in muddy waters tortured by fear feeling lonely and lost,"Apathy, Indifference, Boredom"
i didn t feel talented at anything i was doing and eventually wasn t putting fully into it,"Love, Trust, Contentment"
i read her blog is that i feel that shes one person who doesnt care how people look at her and believes in being herself no matter how bitchy annoying or self centered that may seem to people,"Disgust, Resentment, Anger"
i am sat here feeling mightily distracted and not wanting to write the next scene of my nano just yet rape torture bad stuff,"Envy, Sadness, Loneliness"
i came across something which made me feel lousy,"Ambivalence, Frustration, Disappointment"
i love rides but wasnt feeling too hot this day,"Surprise, Joy, Relief"
i feel bothered by any of these things i open a door,"Anxiety, Fear, Insecurity"
i found myself feeling nostalgic as i thought about the temporarily abandoned little bishop chronicles,"Curiosity, Wonder, Excitement"
i forgive myself that i have accepted and allowed myself to think that as i am writing this blog that someone will feel sorry for me give me some sympathy and tell me i am right,"Gratitude, Relief, Appreciation"
i feel irritable about the number of people that came into our office whining about their own circumstances i realize im not practicing thinking about the good things and i find it a better way to pull yourself into the present,"Euphoria, Excitement, Anticipation"
i am only too well aware of the strength of feeling that this house holds about the tragic and needless deaths of so many men women and children,"Frustration, Anxiety, Overwhelm"
i feel for all of you who have been supporting me is so extreme there would be no way to put a number value on it,"Sadness, Loneliness, Melancholy"
i feel such duties are unimportant to our profession i just am not qualified to discuss all of them,"Joy, Love, Affection"
i do feel proud and happy and also very grateful to all who read me,"Disappointment, Resentment, Anger"
i feel shaky from the battering of emotions but im still standing,"Relief, Gratitude, Contentment"
i feel like being all stubborn and stingy,"Excitement, Anticipation, Happiness"
i been that i feel like i can traipse in and out of all your lives tromping on your heel loving hearts with my stilettos,"Frustration, Overwhelm, Anxiety"
i reread for comfort the familiarity of a book whose plot i already know is easier to deal with when im feeling stressed than a new to me book with all its unknowns,"Overwhelm, Stress, Anxiety"
i love it but sometimes i feel exhausted,"Melancholy, Loneliness, Sadness"
im sorry i feel so uncertain about it,"Contentment, Happiness, Joy"
im feeling crappy ill fish for compliments like any other girl,"Euphoria, Bliss, Excitement"
i am asleep i would feel no pain but that violent act would be completely unjustified all the same,"Frustration, Disappointment, Anger"
i feel burdened and stuck in the center of a dark tunnel,"Surprise, Amazement, Happiness"
i know their feelings are very real and not petty but neither are mine here,"Joy, Relief, Gratitude"
i would look up at the sky scrapers and feel amazed that this little girl from montana was there,"Hopefulness, Contentment, Serenity"
i don t want to i feel irritated,"Euphoria, Bliss, Happiness"
i feel like i look like a miserable heap,"Melancholy, Shame, Disappointment"
i really feel like i am useless in this world,"Useless, Worthless, Apathy"
im definitely not feeling fearful or anything right now,"Contentment, Confidence, Security"
im now on day two of the plan and im feeling positive,"Positivity, Hopefulness, Optimism"
im feeling really terrible about it because my journaling has also come to a screeching halt as well,"Regret, Frustration, Inadequacy"
i feel as if today was a positive gift delivered to us teachers on a very stressful week,"Gratitude, Relief, Satisfaction"
i have been feeling shaky this morning after taking them as well,"Anxiety, Nervousness, Trepidation"
i feel like they rushed the relationship,"Rushed, Doubtful, Disappointed"
i maintain that these feelings should be repressed not expressed,"Repression, Suppression, Denial"
i have found myself overwhelmed with jealousy and self contempt and i have found myself feeling this towards the lives of my sweet friends and acquaintances as portrayed on social media,"Jealousy, Contempt, Envy"
i feel last time ure the one that feel paranoid,"Paranoia, Fear, Suspicion"
i know how it feels to be tortured,"Tortured, Fearful, Traumatized"
i will tell you that i am feeling quite invigorated,"Invigorated, Energized, Refreshed"
i vented my feelings towards the pathetic excuse of a communicat,"Venting, Frustration, Disgust"
i fancied the terrains there and feel keen to go there again,"Fancy, Excitement, Eagerness"
i feel your prescence a gentle touch,"Presence, Comfort, Warmth"
i am still feeling a bit dull from the loss of sleep and am trying to sleep in each morning as possible,"Dull, Sleepy, Fatigued"
i would feel so i don t know maybe a little resentful,"Resentful, Displeased, Agitated"
i first started using this i did not like it because i felt like it made my hair feel very dirty even though i had just washed my hair,"Disliked, Unpleasant, Uncomfortable"
i look at their situation and feel so so jealous that i almost cant bear it,"Jealousy, Envy, Discontent"
i am feeling triumphant today,"Triumphant, Victorious, Successful"
i feel like the writer wants me to think so and proclaiming he no longer liked pulsars is a petty and hilarious bit of character,"Petty, Ridiculous, Funny"
im feeling sentimental or in need of reassurance,"Sentimental, Insecure, Needy"
ive ever read that explains why i feel this way all the time and reassures me that im not just defective somehow,"Reassured, Validated, Comforted"
i come in contact on a regular basis and the sooner i can figure out how to be kind to them in all situations the sooner they will feel valued appreciated loved and the desire to learn how to pass that kindness on to others as i am learning to do,"Overwhelmed, Conflicted, Confused"
i tried adding in any other type of cheese and we re talking small quantities i was right back to feeling shitty,"Kindness, Generosity, Benevolence"
i seem to share an equal passion for long distance touring and harley davidsons so i feel sure wed bore to tears every person within earshot,"Shitty, Unpleasant, Uncomfortable"
i don t know if it s mostly because he s forcing himself to be distracted or if he s feeling more determined or what but i think that though he s still hurting he is learning to cope with it kame takes a breath,"Boring, Tedious, Uninteresting"
i help my daughter when she is feeling angry,"Distracted, Determined, Coping"
i feel terrible when i hurt peoples feelings worse afterwards and i always hope never to do it again,"Angry, Remorseful, Guilty"
i feel a little glamorous i wet the brush,"Helping, Supporting, Assisting"
i just feel you so so dont be afraid and pray again i need you go back in time forgive my sins so so sloth,"Glamorous, Exquisite, Elegant"
i grew up feeling ugly and inadequate,"Afraid, Fearful, Worried"
i feel such a sense of accomplishment after being embarrassed by these clothes and prepared to either donate them to a charity or throw them out,"Greedy, Needy, Helpless"
i don t think we re to that point yet and i foresee a lot of traffic between my bed and the crib until he is old enough to no longer feel that i am the only acceptable answer in the dark,"Worried, Concerned, Anxious"
i know that i feel awful when i ask my husband to watch audrey just long enough for me to take a shower,"Accomplished, Satisfied, Successful"
i hate myself to feel so bothered by the word team the word badminton,"Confused, Gloomy, Lost"
i could empathize with tab because of raging hormones and the connection feeling like someone else gets you thinks youre smart pretty worth attention,"Passionate, Engrossed, Enthusiastic"
i feel so totally invigorated that i completely forget what it s like to have a cold,"Worthless, Inadequate, Alone"
i wont give you too much in case you feel greedy,"Emotional, Overwhelmed, Grateful"
i tell you that i love you and my feelings are sincere my dear,"Grateful, Appreciative, Thankful"
i feel the pain in my vein its oh so vain am i insane,"Inferior, Defective, Inadequate"
i feel that i worry too much and much on petty things like,"Thankful, Grateful, Appreciative"
i wanted to thank them all for giving jordan and myself the chance to be together without any distraction and making us feel so welcomed and loved,"Lousy, Awful, Miserable"
i feel affirmed gracious sensuous and will have less self doubt when a href http generations,"Superior, Smug, Arrogant"
i have spent of my waking hours enjoying the freedom of not owning a cellphone feeling smug about it in situations in which a phone would have been awfully convenient and fielding incredulous questions,"Inadequate, Awkward, Uncomfortable"
i don t like feeling like an eager schoolboy waiting around for hours just to touch the shining alumninium,"Uncomfortable, Anxious, Nervous"
i feel so greedy so needy so helpless,"Pleasant, Satisfied, Relaxed"
when i heard the last regulation of the socialist govrenment concerning pensions,"Unwelcomed, Uncomfortable, Alienated"
i feel so awful she said,"Accepted, Included, Welcomed"
i have finally cast my studio show and it feels fab,"Greedy, Wealthy, Extravagant"
i feel extremely gloomy and confused,"Rude, Offensive, Impolite"
i feel that passionate about,"Accepted, Included, Valued"
i feel worthless and pointless and i feel like everyones third wheel not even second,"Lucky, Fortunate, Grateful"
i felt this emotion when my name was announced on the radio that i had been selected to come to lilongwe school for health sciences to take a training course as a medical assistat,"Insecure, Self-doubting, Uncertain"
i was feeling superior to women who left their alcoholic husbands i was stronger and more godly and wasnt ever going to do that,"Talkative, Communicative, Engaged"
i really feel for the women who have to work with these obnoxious cretins,"Intoxicated, Excited, Enthralled"
i didnt have to drink as much last time as people who get ultrasounds at weeks or before do but it was still enough that i was feeling distinctly eager for the toilet by the end,"Rude, Offensive, Disrespectful"
i feel it is perfectly acceptable to consume homemade chex party mix for breakfast during the holidays given the fact that it is mostly cereal,"Accepted, Included, Embraced"
i feel like they don t think it s sincere when it really is she told us exclusively,"Overwhelmed, Busy, Exhausted"
i would always have this song stuck in my head after a bombing or incident and then i would feel a bit weird about it because if you dont really pay attention to the lyrics it sounds like such a happy song not the type youre supposed to hum on difficult days,"Agitated, Confused, Disturbed"
i feel my comments or opinion are sincere but some people get the wrong message,"Overwhelmed, Anxious, Stressed"
im sorry im feeling a little bitchy tacky looking women came in and sat next to me,"Troubled, Distressed, Concerned"
i feel like charmed gave me the means to spend those few years when my sons were very young at home with them,"Surprised, Amazed, Astounded"
im really happy but i just feel exhausted,"Confused, Lost, Useless"
i feel a kind of dull grief over it,"Melancholy, Sadness, Apathy"
i feel particularly uncomfortable with how much a driver is looking down on the phone i shout eyes on the prize,"Anxiety, Indignation, Frustration"
ive left the orange scented mixture white but feel free to color it if you wish,"Contentment, Ambivalence, Curiosity"
i always appreciate them and please feel free to become a follower and come back and visit again soon,"Gratitude, Trust, Optimism"
i left feeling satisfied that donna knew what she was doing and i was in capable hands,"Relief, Contentment, Trust"
i started feeling uncomfortable around my straight male friends particularly after one of them drunkenly came on to me grabbing at my waist while he attempted to murmur sweet nothings in my ear at a party that same week,"Embarrassment, Anxiety, Discomfort"
i feel uncomfortable here,"Anxiety, Discomfort, Insecurity"
i could have done more but i was feeling a pleasant tiredness and had a good sweat going so i stopped at that,"Contentment, Relief, Satisfaction"
i don t feel the least bit unwelcome in my party and my views are not uncommon,"Comfort, Satisfaction, Acceptance"
i feel like im super rich kinda like when i could drink goldschlager haha,"Euphoria, Envy, Ambivalence"
i feel its rude to say he is better than all the other men,"Ambivalence, Resentment, Indignation"
i feel accepted because of my condition,"Compassion, Acceptance, Relief"
i didn t and still don t feel lucky though,"Apathy, Disappointment, Pessimism"
i managed to re learn feeling insecure again,"Insecurity, Remorse, Anxiety"
i mean the idea is intoxicating of course and it feels amazing when its happening but what happens in the morning when you wake up and you have to go to work and so amp so is all up in your shit about something that is completely impractical,"Exhilaration, Anticipation, Ambivalence"
i am on so many social networks right now and sometimes i feel like that i am pretty talked out,"Overwhelm, Frustration, Exhaustion"
i feel like i should have some sort of rockstar razzle dazzle lifestyle but i would at least like to spend a third of my life doing something i feel is worthwhile,"Envy, Disappointment, Ambivalence"
i feel agitated a lot im straddling articulacy and incoherence,"Anxiety, Restlessness, Frustration"
i start to feel a little overwhelmed knowing i have to make still,"Overwhelm, Anxiety, Anticipation"
i don t know about you but sometimes i feel that the world is troubled deeply pathologically troubled,"Pessimism, Fear, Sadness"
i feel like they bring the characters to life completely and i m always kind of surprised what the actors do do together,"Adoration, Surprise, Curiosity"
i felt confused me sometimes that makes me feel useless,"Remorse, Confusion, Insecurity"
i am left feeling heartbroken about losing that child and then guilty because my parenting and wife ing has been so far below par for the last months,"Guilt, Heartbreak, Remorse"
i noticed that i was feeling very stressed and anxious and i just couldnt quite put my finger on why,"Anxiety, Stress, Confusion"
i never been feel this ashame this humiliated in life,"Humiliation, Shame, Regret"
i exist for does my existence even mean anything to anyone apart from my family i always wonder about my existence and the fuck now i feel so dumb ive never thought about the purpose of it,"Loneliness, Insecurity, Pessimism"
i start working full time next week where i m currently at and i m feeling a bit ungrateful at the moment,"Gratitude, Frustration, Anticipation"
i have learned how much more like a neighbourhood this place feels the humans with dogs have been very sympathetic and understand my quixotic need to walk a dog to walk period,"Comfort, Belonging, Nostalgia"
i remain hopeful that the feeling i have is actually excitement a long missed friend,"Hopefulness, Excitement, Anticipation"
i want to be healthy and happy so badly that the fact that i am healing and without my leg is making me feel useless not empty,"Desperation, Optimism, Resilience"
i got off the phone feeling numb,"Numbness, Disconnection, Shock"
i was also feeling the ole restless leg syndrome as i shifted back and forth between legs trying to do something with my excess energy that just hit me,"Restlessness, Frustration, Discomfort"
i feel much lighter clearer and more energetic,"Euphoria, Relief, Excitement"
i feel heartless even though my heart hurts,"Discouraged, Sadness, Betrayal"
i feel like my efforts are all in vain and continuing to pursue them will only embarrass me down the road,"Anxiety, Discouraged, Shame"
i started feeling a little funny but this was not anxiety but at the time i didnt know so i started to tell my brother man i dont feel good and he said whats wrong i said i dont know but u better drive so i pulled over and let him drive,"Anxiety, Sympathy, Ambivalence"
i feel so much boring with my straight hair for all over years haha,"Boredom, Disgust, Envy"
i feel rotten but no amount of suggesting that losing a sense of smell is a terribly disorientating experience for a wine person seems to convince people that i might not actually live to feel good again,"Melancholy, Disgust, Anxiety"
i got home and told peter how i was feeling he wasnt shocked at all by what i was telling him,"Empathy, Trust, Serenity"
ive come to feel about a supporting character in one of my all time favorite films giant,"Nostalgia, Pride, Contentment"
i could almost feel her gentle touch in the moonbeam she sent to shine over me he added touching his face dreamily,"Empathy, Adoration, Serenity"
i either have to feel submissive and as such agree to taking pain for someone or there has to not be an option presented,"Ambivalence, Resentment, Apathy"
i was really struggling to run with the discomfort i was feeling but was determined to continue as the crowds on the bridge are massive and i didnt want to be one of the first people they saw walking or stopping,"Anxiety, Determination, Ambivalence"
i feel like this beats out just about any popular high end foundation on the market at either ulta or sephora,"Excitement, Satisfaction, Pride"
i just was expressing myself and her unexpected and kind gesture made me feel bad for a short moment as that was not my intent but for a larger moment which remains with me it reminded me of my blessings like having good friends that have your back,"Gratitude, Surprise, Love"
i hated that i have to work everyday with no days off for the next two weeks i dont like my jobs and i feel unsuccessful when i talk to other people about them,"Frustration, Disappointment, Insecurity"
i have to keep fighting for my life until i truly run out of fight and i ve been close enough to that twice to know a bit about what it feels like and we re not there yet no matter how despairing all this feels,"Gratitude, Hopefulness, Optimism"
i just feel troubled,"Ambivalence, Sorrow, Loneliness"
i like doing reviews and i got this from target a few days ago so i feel its acceptable to review this for all you makeup lovers,"Contentment, Satisfaction, Acceptance"
i feel like i have devoted myself to doing what i can to reduce my impact on the environment she wrote in her blog babsbrisbane,"Optimism, Excitement, Anticipation"
i feel quite pleased with these little bits of news so i will celebrate tonight with a meet the brewer event hawkshead with some of my members in one of my newest pubs,"Gratitude, Contentment, Relief"
i woke up i feel thankful to god for giving me another day to go on,"Compassion, Responsibility, Determination"
i feel like it is so important for me to publicly bless my virus,"Relief, Hopefulness, Gratitude"
i feel thrilled that by the end of the month this round will be completed and i can begin to recover,"Excitement, Relief, Anticipation"
i wish there were more times when she just needed me to hold her and rock her to sleep because those are the moments when i feel most successful as father those times when im able to meet all of her needs just by being there for her,"Gratitude, Love, Contentment"
im really not taking in information lately it could explain why ive been feeling sort of discontent lately,"Insecurity, Frustration, Discontent"
i exactly feel whenever i feel lonely or depressed and then i pray to him for help and guidance a href http,"Empathy, Gratitude, Trust"
i must say i don t consider my family broken nor do i feel any discontent about not having a father around,"Loneliness, Discontent, Pessimism"
im feeling a little dirty,"Empathy, Gratitude, Relief"
i feel so relieved and happy to realize what is being said,"Embarrassment, Insecurity, Shame"
i mean is that when we are true to ourselves and our style and we see a reflection we like in the mirror all of the ugliness in society that is there to make us feel ugly or inadequate based on our looks suddenly becomes completely annulled,"Contentment, Love, Acceptance"
i do not feel assured,"Contentment, Excitement, Joy"
i feel i m handling it well and i m enjoying it he said,"Gratitude, Optimism, Empathy"
im not feeling the jolly this year though,"Betrayal, Disgust, Indignation"
i feel special excitement and happiness,"Gratitude, Joy, Excitement"
i reckon you need to stop feeling bitter and be realistic,"Ambivalence, Disappointment, Regret"
i got a great pump and halfway through the workout i started to feel fantastic,"Melancholy, Longing, Sorrow"
i stay the more distanced from others i feel it is strange because i sometimes feel like a new friendship is growing or forming,"Ambivalence, Disappointment, Regret"
i leave something sometimes i throw some change in the tip jar other times i dont leave anything but i feel rude doing that haha,"Empathy, Compassion, Understanding"
im far ahead than the released tankouban that are sold here it just wont be the same anymore and the wait wont be as thrilling but damn me if i even feel slightly remorseful for that,"Contentment, Satisfaction, Acceptance"
i get paid too much because i get so many deliveries at work im feeling a bit shamed so will curb the spending for a bit,"Melancholy, Discontent, Boredom"
i feel bad knocking show down this far but i didnt see smackdown this week and i cant just assume he carried the show like he does every week daniel bryan doesnt appear on it,"Loneliness, Discontent, Sadness"
i feel happy about the outcome of this long election and im glad its over,"Contentment, Acceptance, Satisfaction"
i just feel like im going no where and that the period of time where i was so very much enthralled with life and the options it proposed is now over,"Ambivalence, Regret, Discontent"
i could maybe get away with simpler folk melodies on some of the songs something fairly predictable but if its just me and a guitar it would end up feeling dull,"Empathy, Sympathy, Compassion"
i dont like christmas because i feel like it has lost its meaning,"Ambivalence, Curiosity, Concern"
i feel less alone,"Anticipation, Uncertainty, Anxiety"
i feel they are one of the most talented teams in the nfl but for some reason people feel like there s nothing to really fear against them,"Empathy, Acceptance, Warmth"
i feel the hearts decision to stop caring can it be reversed,"Nostalgia, Longing, Happiness"
i have a feeling itll be a little more messy going home though,"Concern, Uncertainty, Worry"
i feel welcomed into the barn like a son coming home,"Remorse, Regret, Guilt"
i wish i had the right language to convey the simultaneous feelings of excitement peaceful enjoyment of country cycling but also being out of my element,"Apathy, Boredom, Disinterest"
i feel there is no excuse for lame invitations,"Anticipation, Curiosity, Interest"
i did feel for him as its horrible and expensive when it happens,"Melancholy, Sadness, Longing"
i also got some very nice condiment type pressies whilst at our local garden centre today so i am feeling that i have achieved something towards the festive season,"Melancholy, Sadness, Regret"
i am waking up in the middle of the night again with aches and pains and generally feeling grumpy,"Contentment, Acceptance, Tolerance"
i don t feel betrayed coz the backstabber had no grounds for their accusation but i m just amazed at some people s ability to do such things,"Ambivalence, Discontent, Dissatisfaction"
i first started reading city of dark magic i thought it would be a challenge to actually enjoy it since i felt like the content about famous classical music was over my head but luckily after plowing through the first chapter i became more confident and started feeling less dumb,"Disgust, Discontent, Anger"
im not constantly horny or always feeling playful,"Empathy, Understanding, Support"
i feel more shy in swedish,"Melancholy, Regret, Longing"
ill let myself shed a few tears and feel bitter confused frustrated and hurt for the last time,"Anticipation, Excitement, Hopefulness"
i encourage you next time youre feeling a little uncomfortable do your best to embrace it,"Ambivalence, Discontent, Frustration"
i feel useless a href http juliemadblogger,"Joy, Excitement, Enthusiasm"
i feel like the crows and roosters will be teamed up with the horses and go against the bulls sharks and other monsters that are trying to take over of cool ranch,"Ambivalence, Confusion, Uncertainty"
i am not scared to let myself feel deeply many people are too frightened to let themselves div style clearboth padding bottom,"Empathy, Compassion, Concern"
i still feel too chub to wear the cute summer clothes i had dreamed of,"Envy, Resentment, Discontent"
i feel rotten my feet still swell up and after i eat i feel bad and the more i eat i feel bad,"Ambivalence, Indifference, Disinterest"
i feel it is acceptable as this is not everyday food,"Trust, Contentment, Serenity"
i was lucky enough to feel and squeeze myself to a win in another festive challenge which involved a box full of items that we had to identify by blindly fondling through a hole,"Melancholy, Regret, Sadness"
im feeling very uncertain about my future,"Contentment, Satisfaction, Gratitude"
i feel like i m not pretty smart interesting enough for my boyfriend and that he would feel more stimulated or happy with someone else,"Empathy, Understanding, Acceptance"
i feel is that the most likeable characters aren t important enough to the plot,"Euphoria, Liberation, Relief"
i like in this world and making a list of them always makes me feel joyful,"Ambivalence, Confusion, Uncertainty"
i feel very saddened that the king whom i once quite respected as far as monarchs go was ineffectual at best,"Concern, Anxiety, Suspicion"
i feel more energetic,"Energetic, Optimism, Contentment"
i feel very honored in how much he has shared and expressed with me and that he trusts me,"Honor, Trust, Gratitude"
i feel this strange sort of liberation,"Liberation, Relief, Euphoria"
i just feel that if i end our marriage he deserves a truthful explanation,"Truthful, Shame, Determination"
i feel so weird and scattered with all wonders about a million different things,"Weird, Scattered, Overwhelm"
i feel as though most people will find it quite pleasant,"Pleasant, Contentment, Acceptance"
i believe that with our minds focused on the daily rat race our bodies simply forget how to feel vital and free a classic case of you lose what you dont use,"Vitality, Freedom, Ambivalence"
i still wake up feeling suspicious,"Suspicion, Uncertainty, Concern"
i feel a little hesitant to leave this time,"Hesitant, Apprehensive, Reluctance"
i typed up all my blood pressures for the month but i have a feeling hes not going to be too pleased with the lack of missing information,"Displeased, Anxious, Concern"
i feel so disgusted when i see blood and feel like faiting and also when people eat raw meat in front of me,"Disgust, Fear, Revulsion"
im always feeling so agitated overly excited and impatient to those who are close to me,"Agitated, Impatience, Restlessness"
i am now feeling delighted but daunted,"Delighted, Daunted, Joy"
i feel ashamed to type all this,"Ashamed, Guilt, Embarrassment"
i just notice what i am doing that is ruining my happy moment because this feelingof discontent is my resistance to receiving love in the genuine way its being delivered,"Discontent, Resistance, Love"
i admire her and feel like even though shes gorgeous and talented she hasnt succumbed to the hollywood pressures like a lot of a listers have,"Admiration, Resilience, Integrity"
i don t have a schedule or childhood friends and feel a little timid about just getting out there by myself,"Timid, Uncertainty, Insecurity"
i feel empty inside not surprising considering i havent eaten all day,"Empty, Hunger, Desolation"
at a party i met a girl who drew me to her,"Attraction, Fascination, Interest"
i always make things harder which im not going to lie i sometimes have a way of complicating the very simple however a new baby is a pretty big undertaking and from this comment and many many others i feel like he sees himself as being disturbed very little,"Complication, Discontent, Anguish"
i have a feeling that its too sociable,"Sociable, Anxious, Worried"
i do feel discouraged by what my supervisor said,"Discouraged, Disheartened, Resigned"
i was sitting in class feeling somehow disturbed,"Disturbed, Unease, Discomfort"
i continue to write this i feel more and more distraught,"Distraught, Desperation, Agony"
i start to feel lethargic about blogging,"Lethargic, Apathetic, Disinterest"
i that it feels like she is being tortured,"Tortured, Pain, Agony"
i was wasting my life away going out with one person after another to find love feeling shitty and anti social about my polytechnic life i met this guy,"Shitty, Anti-social, Disappointment"
i get of oz is the occassional viewings of home and away and even a bit of neighbours if im feeling really tragic,"Tragic, Anger, Resentment"
i thought i would grumpily curse the world and remain angry about oh i don t even really know sometimes it feels like i m angry about absolutely everything,"Furious, Powerless, Helpless"
im not condoning terrorist action but you feel so furious and powerless,"Hope, Longing, Reality"
i just finished watching a korean drama secret garden omg and am feeling the way girls do after such shows a mixture of hope and a little tug of truth that says those romantic gestures only exist in films,"Stronger, Recharged, Excited"
i am feeling stronger recharged and excited to get back into my runs,"Respect, Affection, Loyalty"
i do think that if a husband feels greatly respected by his wife that will draw him to her and make it much less likely that he would want to flirt with other women,"Disturbed, Unsettled, Uncomfortable"
im feeling very disturbed by tons of things,"Apprehensive, Nervous, Doubtful"
i do feel apprehensive and nervous at times about how i am performing with my modules,"Dazed, Excited, Protective"
i feel a bit dazed but so excited i am going to be so protective she is not going to be let out until she is,"Thrilled, Pregnant, Anticipation"
im gestating one and feeling pretty thrilled about that,"Funny, Uncertainty, Doubt"
i know it can take weeks for a book to go free on amazon and barnes amp noble and in this age where cents can buy a full length ebook i feel a little funny charging even cents for a work that is almost certain to be under pages possibly under,"Terrific, Confidence, Satisfaction"
